Part Name ,QTY,Price Per,Link ,Notes
Raspberry Pi Zero 2 W(U2),1,US $24.04,here,
LM2596 (U1),1,US $1.54,here,
THT 3 Pin connectors 5 pack,1,US $1.84,here,
THT 4 Pin connectors 5 pack,1,US $2.11,here,
Mg996r ,3,US $15.49,here,servo
Nema23 23HS5628 ,1,US $25.05,here,
Sg90,1,US $3.29,here,mini servo
AC 110V - 220V DC 24V 8A,1,US $20.07,here,psu
Rotary Encoder,5,US $2.72,here,
Bearing - 6800-2RS 10X19X5,4,US $4.10,here,
75mm M5 screw 10 pack,1,"US $0.99",here,
M3 M4 M5 screw and nuts pack,1,US $16.32,here,
1 kg of PLA white matte ,1,US $21.87,here,
resistors Pack,1,US $3.20,here,10k + 1k
2.1mm Jack THT,1,US $1.35,here,
DC 24V to DC 6V,1,US $7.67,here,
Wire Multiple colours ,1,US $10.98,here,20awg
TMC2208 ,1,US $4.31,here,stepper driver
Micro SD card,1,US $4.67,here,
Micro USB Male To USB 2.0 Female,1,US $2.13,here,
JLCPCB,5,US $2.00,,
Raspberry Pi Model B+ Camera Module ,1,US $4.51,here,
,,,,
Tota (Taxes + shipping): ,US $151.25 (AliExpress) + USD 31.30$ Bambulab + USD $3.50 (JLC) = $186.05 USD =~ $200 USD,,,